"Factor","Items","Estimator.x","CFI.x","TLI.x","RMSEA.x","SRMR.x","Item_Count.x","Estimator.y","CFI.y","TLI.y","RMSEA.y","SRMR.y","Item_Count.y"
"F1","v1,v10,v11,v13,v55",NA,NA,NA,NA,NA,NA,"MLR",0.966230048375958,0.932460096751916,0.0744112655643452,0.0359616913094508,5
"F1","v1,v10,v11,v13,v55",NA,NA,NA,NA,NA,NA,"WLSMV",0.996571237908879,0.993142475817759,0.0414057624049131,0.0401113075348416,5
"F1","v1,v10,v11,v55",NA,NA,NA,NA,NA,NA,"WLSMV",0.994977506398483,0.984932519195449,0.0704599485285646,0.0421584305784489,4
"F1","v1,v10,v13,v55","MLR",0.98961867,0.96885601,0.032972027,0.02219515,4,"WLSMV",0.996815223161609,0.990445669484828,0.0501057284004048,0.0324143066739566,4
"F1","v1,v10,v13,v55","MLR",0.98961867,0.96885601,0.032972027,0.02219515,4,"MLR",0.978565633471337,0.935696900414011,0.0729654675707973,0.0292882809247999,4
"F1","v1,v10,v13,v55","WLSMV",0.990143785,0.970431356,0.042375614,0.030371555,4,"WLSMV",0.996815223161609,0.990445669484828,0.0501057284004048,0.0324143066739566,4
"F1","v1,v10,v13,v55","WLSMV",0.990143785,0.970431356,0.042375614,0.030371555,4,"MLR",0.978565633471337,0.935696900414011,0.0729654675707973,0.0292882809247999,4
"F1","v1,v11,v13,v55",NA,NA,NA,NA,NA,NA,"MLR",0.993391836730673,0.98017551019202,0.0470930873944121,0.025112162921248,4
"F1","v1,v11,v13,v55",NA,NA,NA,NA,NA,NA,"WLSMV",0.999063286211305,0.997189858633916,0.0310372720197344,0.0274777319030912,4
"F1","v1,v2,v10,v11,v55","WLSMV",0.989004104,0.978008208,0.073886992,0.051191891,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v10,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.996246640374702,0.988739921124105,0.0747864567651949,0.0412398092114979,4
"F1","v1,v2,v10,v55","WLSMV",0.998563239,0.995689716,0.042003008,0.027602334,4,"WLSMV",0.998812076842893,0.996436230528679,0.0507356074236628,0.0329648453119502,4
"F1","v1,v2,v10,v55","MLR",0.989642576,0.968927729,0.057365596,0.028111293,4,"WLSMV",0.998812076842893,0.996436230528679,0.0507356074236628,0.0329648453119502,4
"F1","v1,v2,v11,v55","MLR",0.990472036,0.971416109,0.049825659,0.026157454,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v11,v55","WLSMV",0.998982078,0.996946233,0.033090352,0.029658152,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v13,v55","MLR",0.988674805,0.966024415,0.05536251,0.02822713,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v13,v55","WLSMV",0.997991161,0.993973482,0.047054073,0.030664503,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v10","MLR",0.988868669,0.966606008,0.070396548,0.023849442,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v10","WLSMV",0.999117097,0.997351292,0.038759565,0.026465851,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v10,v11","WLSMV",0.992990102,0.985980205,0.069319115,0.049239938,5,"WLSMV",0.995420636494536,0.990841272989073,0.0722881976811899,0.0555914496741961,5
"F1","v1,v2,v3,v10,v11,v55","WLSMV",0.990366082,0.98394347,0.063508284,0.052206577,6,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v10,v13",NA,NA,NA,NA,NA,NA,"MLR",0.991938759396979,0.983877518793957,0.0446642994317815,0.0330709033923248,5
"F1","v1,v2,v3,v10,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.999565044902928,0.999130089805855,0.0218656572199741,0.0355787479701327,5
"F1","v1,v2,v3,v10,v55","MLR",0.969565979,0.939131957,0.077994276,0.035165993,5,"MLR",0.992690252529976,0.985380505059952,0.0466426292937713,0.0266201358305811,5
"F1","v1,v2,v3,v10,v55","WLSMV",0.996718848,0.993437696,0.049560576,0.038509285,5,"MLR",0.992690252529976,0.985380505059952,0.0466426292937713,0.0266201358305811,5
"F1","v1,v2,v3,v11","MLR",0.995064889,0.985194666,0.043416852,0.01982045,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v11,v55","WLSMV",0.9966081,0.993216199,0.047287123,0.040527514,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v11,v55","MLR",0.968448857,0.936897713,0.073944289,0.035389678,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v13","WLSMV",0.997178086,0.991534257,0.06617806,0.040388951,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v13,v55","WLSMV",0.994308679,0.988617358,0.06231711,0.047039982,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v5,v10,v11,v55","WLSMV",0.984168465,0.976252697,0.079348709,0.060062041,7,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v5,v10,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.996085959177573,0.993476598629288,0.0662211258824533,0.0422785785289629,6
"F1","v1,v2,v3,v5,v10,v55",NA,NA,NA,NA,NA,NA,"WLSMV",0.996453770197713,0.994089616996189,0.0700626058442991,0.0400100250113013,6
"F1","v1,v2,v3,v5,v11,v55","WLSMV",0.989213129,0.982021882,0.076197569,0.051753066,6,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v5,v13,v55","WLSMV",0.989138678,0.981897796,0.0776303,0.052101614,6,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v5,v9,v11",NA,NA,NA,NA,NA,NA,"WLSMV",0.995680202161384,0.992800336935639,0.0693527431279636,0.0481785348535755,6
"F1","v1,v2,v3,v5,v9,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.99742170887156,0.995702848119266,0.052959546158454,0.035038996953661,6
"F1","v1,v2,v3,v5,v9,v13,v55","WLSMV",0.985519767,0.97827965,0.073830008,0.058030644,7,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v5,v9,v55","WLSMV",0.988725039,0.981208398,0.079768362,0.052672751,6,"WLSMV",0.997107648715435,0.995179414525725,0.0623354076854457,0.0356125422068185,6
"F1","v1,v2,v3,v55","WLSMV",0.996815104,0.990445312,0.072468986,0.038168664,4,"MLR",0.998702213072058,0.996106639216175,0.0297713276704638,0.0152197148181837,4
"F1","v1,v2,v3,v9","MLR",0.991157072,0.973471217,0.059590114,0.02115331,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v9","WLSMV",0.999299465,0.997898394,0.033161376,0.025866676,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v9,v11",NA,NA,NA,NA,NA,NA,"MLR",0.987425190056804,0.974850380113608,0.0558477308594694,0.0394419369491312,5
"F1","v1,v2,v3,v9,v11",NA,NA,NA,NA,NA,NA,"WLSMV",0.999036750083301,0.998073500166603,0.0323536066024788,0.0438363064588487,5
"F1","v1,v2,v3,v9,v11,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.990344959126735,0.983908265211225,0.0785809927564705,0.0646558657654705,6
"F1","v1,v2,v3,v9,v13","WLSMV",0.99062054,0.981241079,0.07837229,0.057414489,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v9,v13,v55","WLSMV",0.988972015,0.981620026,0.066466093,0.056499899,6,"WLSMV",0.992523118097555,0.987538530162592,0.0789302237559495,0.0573306568594483,6
"F1","v1,v2,v3,v9,v55","WLSMV",0.996236875,0.992473751,0.050953282,0.040086784,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v3,v9,v55","MLR",0.9680897,0.9361794,0.076181669,0.035271745,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v4,v10",NA,NA,NA,NA,NA,NA,"MLR",0.997990482301043,0.99397144690313,0.0348624919035021,0.0172435968943405,4
"F1","v1,v2,v4,v10,v11",NA,NA,NA,NA,NA,NA,"WLSMV",0.995842460334848,0.991684920669695,0.0694824725529871,0.0542194001537837,5
"F1","v1,v2,v4,v10,v11,v55","WLSMV",0.98406638,0.973443966,0.079024407,0.057738643,6,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v4,v10,v13",NA,NA,NA,NA,NA,NA,"MLR",0.982122170494255,0.964244340988511,0.067651857273153,0.0371697250540177,5
"F1","v1,v2,v4,v10,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.998768021809144,0.997536043618288,0.0371800976697682,0.0390982811384492,5
"F1","v1,v2,v4,v10,v55",NA,NA,NA,NA,NA,NA,"MLR",0.990533810316407,0.981067620632813,0.0536915873829152,0.0267241129809397,5
"F1","v1,v2,v4,v11","MLR",0.995176313,0.98552894,0.0397898,0.019932811,4,"MLR",0.999844175186807,0.99953252556042,0.00965028771980795,0.0170435390601079,4
"F1","v1,v2,v4,v11,v55","WLSMV",0.995088205,0.99017641,0.054115813,0.042370826,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v4,v11,v55","MLR",0.960253837,0.920507673,0.077569033,0.037723644,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v4,v13","WLSMV",0.99740923,0.99222769,0.060156996,0.035106638,4,"WLSMV",0.99945583403533,0.99836750210599,0.0374920714456591,0.0306175388643798,4
"F1","v1,v2,v4,v13","WLSMV",0.99740923,0.99222769,0.060156996,0.035106638,4,"MLR",0.989083641486633,0.967250924459899,0.0791693561880742,0.0292176311467908,4
"F1","v1,v2,v4,v13","MLR",0.986421286,0.959263858,0.068367931,0.030645244,4,"WLSMV",0.99945583403533,0.99836750210599,0.0374920714456591,0.0306175388643798,4
"F1","v1,v2,v4,v13","MLR",0.986421286,0.959263858,0.068367931,0.030645244,4,"MLR",0.989083641486633,0.967250924459899,0.0791693561880742,0.0292176311467908,4
"F1","v1,v2,v4,v13,v55","WLSMV",0.99318346,0.986366921,0.064864495,0.046144772,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v4,v55",NA,NA,NA,NA,NA,NA,"MLR",0.995898217068295,0.987694651204885,0.0533680725003529,0.0187004898577869,4
"F1","v1,v2,v4,v55",NA,NA,NA,NA,NA,NA,"WLSMV",0.999999607232599,0.999998821697797,0.00116455287031749,0.0187571795119502,4
"F1","v1,v2,v4,v9","MLR",0.988904341,0.966713024,0.062020747,0.021562204,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v4,v9","WLSMV",0.999005452,0.997016355,0.037473003,0.026662578,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v4,v9,v11",NA,NA,NA,NA,NA,NA,"MLR",0.982308594232851,0.964617188465701,0.0668290992658874,0.0412344945955942,5
"F1","v1,v2,v4,v9,v11",NA,NA,NA,NA,NA,NA,"WLSMV",0.998567739127299,0.997135478254598,0.0395905133439625,0.0457766823785895,5
"F1","v1,v2,v4,v9,v13","WLSMV",0.989726624,0.979453247,0.077834524,0.056035087,5,"MLR",0.990526591202192,0.981053182404384,0.0474409172926702,0.0296564187330225,5
"F1","v1,v2,v4,v9,v13,v55","WLSMV",0.987206881,0.978678135,0.068118109,0.056306241,6,"WLSMV",0.992400050713694,0.987333417856157,0.079687038824006,0.0578870941920991,6
"F1","v1,v2,v4,v9,v55","MLR",0.960241416,0.920482831,0.079661387,0.037484332,5,"MLR",0.999024047557827,0.998048095115653,0.0166688880179741,0.0201401531191983,5
"F1","v1,v2,v4,v9,v55","WLSMV",0.99483507,0.98967014,0.056758398,0.041660198,5,"MLR",0.999024047557827,0.998048095115653,0.0166688880179741,0.0201401531191983,5
"F1","v1,v2,v5,v10,v11",NA,NA,NA,NA,NA,NA,"WLSMV",0.995596836640486,0.991193673280972,0.069985548151369,0.054385146181941,5
"F1","v1,v2,v5,v10,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.999912086269885,0.999824172539771,0.0096918286085122,0.0337312984131216,5
"F1","v1,v2,v5,v10,v13",NA,NA,NA,NA,NA,NA,"MLR",0.995509155983355,0.991018311966711,0.0330569722484592,0.0312281985820575,5
"F1","v1,v2,v5,v10,v55","WLSMV",0.9910279,0.9820558,0.077229029,0.04870579,5,"MLR",0.993588820088569,0.987177640177138,0.0432592316096986,0.0253916086445178,5
"F1","v1,v2,v5,v11","MLR",0.991023584,0.973070752,0.05478451,0.024419828,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v11","WLSMV",0.998831996,0.996495988,0.03832072,0.031419864,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v11,v55","WLSMV",0.997142417,0.994284834,0.039779605,0.039290671,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v11,v55","MLR",0.975475582,0.950951165,0.06119375,0.035097894,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v13","MLR",0.991189262,0.973567787,0.055318735,0.026591238,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v13","WLSMV",0.999039624,0.997118872,0.035204663,0.029780709,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v13,v55","WLSMV",0.996878105,0.993756209,0.042225813,0.038933089,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v13,v55","MLR",0.973869577,0.947739155,0.06438872,0.036577846,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v55","WLSMV",0.998346853,0.99504056,0.047829279,0.031375889,4,"MLR",0.998656766765402,0.995970300296205,0.0299067663686007,0.0141427569464038,4
"F1","v1,v2,v5,v55","MLR",0.983392679,0.950178037,0.07942707,0.030329102,4,"MLR",0.998656766765402,0.995970300296205,0.0299067663686007,0.0141427569464038,4
"F1","v1,v2,v5,v9","WLSMV",0.995531313,0.986593939,0.077558366,0.040107497,4,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v9,v11",NA,NA,NA,NA,NA,NA,"MLR",0.990265904615545,0.98053180923109,0.0487360140721099,0.037618802354642,5
"F1","v1,v2,v5,v9,v11",NA,NA,NA,NA,NA,NA,"WLSMV",0.999505142052976,0.999010284105952,0.0228774988949609,0.0412375704727733,5
"F1","v1,v2,v5,v9,v11,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.990269534551627,0.983782557586045,0.0778002813025818,0.0638942142116437,6
"F1","v1,v2,v5,v9,v13,v55","WLSMV",0.988431539,0.980719231,0.063115972,0.054246586,6,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v9,v13,v55","MLR",0.942245598,0.903742664,0.074934344,0.048847618,6,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v9,v55","MLR",0.96559525,0.931190501,0.075294657,0.040004911,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v5,v9,v55","WLSMV",0.994848549,0.989697099,0.055308973,0.042318021,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v9,v13",NA,NA,NA,NA,NA,NA,"MLR",0.998593503202253,0.995780509606758,0.0216244683336067,0.0209775158909512,4
"F1","v1,v2,v9,v13,v55","WLSMV",0.98822236,0.97644472,0.074639365,0.05467274,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v9,v13,v55","MLR",0.952274722,0.904549444,0.07613061,0.04810202,5,NA,NA,NA,NA,NA,NA
"F1","v1,v2,v9,v55","WLSMV",0.999228582,0.997685747,0.029591593,0.026203883,4,"MLR",0.999370049086177,0.998110147258532,0.0167824230903938,0.016371211445953,4
"F1","v1,v2,v9,v55","MLR",0.995282285,0.985846856,0.036425299,0.025086503,4,"MLR",0.999370049086177,0.998110147258532,0.0167824230903938,0.016371211445953,4
"F1","v1,v3,v10,v11,v55","WLSMV",0.972964297,0.945928593,0.072559922,0.051355396,5,NA,NA,NA,NA,NA,NA
"F1","v1,v3,v10,v13",NA,NA,NA,NA,NA,NA,"MLR",0.985400649646104,0.956201948938313,0.0638222421397816,0.0334429593922767,4
"F1","v1,v3,v10,v13",NA,NA,NA,NA,NA,NA,"WLSMV",0.996272147210072,0.988816441630215,0.0575475299067764,0.0351651361477822,4
"F1","v1,v3,v10,v55","WLSMV",0.998777438,0.996332313,0.024053136,0.023478389,4,"MLR",0.996517689486365,0.989553068459096,0.0375025618608958,0.0227788529362117,4
