"Factor","Items","Estimator","CFI","TLI","RMSEA","SRMR","Item_Count"
"F1","v1,v2,v3,v7","WLSMV",0.99681878823425,0.990456364702751,0.0738681933408627,0.036796230520948,4
"F1","v1,v2,v3,v8","MLR",0.999902951803832,0.999708855411496,0.00610467590725081,0.016850153843411,4
"F1","v1,v2,v3,v9","MLR",0.991157072471971,0.973471217415914,0.0595901139408966,0.0211533103637966,4
"F1","v1,v2,v3,v9","WLSMV",0.999299464580658,0.997898393741974,0.0331613758578167,0.0258666763913629,4
"F1","v1,v2,v3,v10","MLR",0.988868669341388,0.966606008024163,0.0703965482964664,0.0238494423755946,4
"F1","v1,v2,v3,v10","WLSMV",0.999117097213715,0.997351291641144,0.0387595651906324,0.0264658511661121,4
"F1","v1,v2,v3,v11","MLR",0.995064888695531,0.985194666086593,0.0434168523527595,0.0198204500708067,4
"F1","v1,v2,v3,v13","WLSMV",0.997178085716109,0.991534257148328,0.0661780600314328,0.0403889505775727,4
"F1","v1,v2,v3,v55","WLSMV",0.996815104149803,0.990445312449409,0.0724689858296808,0.0381686639042937,4
"F1","v1,v2,v5,v9","WLSMV",0.995531313023919,0.986593939071758,0.0775583662667413,0.0401074971091804,4
"F1","v1,v2,v5,v11","MLR",0.991023584117243,0.973070752351729,0.0547845098680554,0.0244198278321024,4
"F1","v1,v2,v5,v11","WLSMV",0.998831995908533,0.996495987725599,0.0383207204662494,0.0314198640713179,4
"F1","v1,v2,v5,v13","MLR",0.991189262432869,0.973567787298606,0.0553187348906106,0.0265912383456754,4
"F1","v1,v2,v5,v13","WLSMV",0.999039623970815,0.997118871912444,0.0352046628822468,0.0297807094782636,4
"F1","v1,v2,v5,v55","MLR",0.983392678846093,0.950178036538278,0.0794270701988345,0.0303291015641556,4
"F1","v1,v2,v5,v55","WLSMV",0.998346853330217,0.995040559990651,0.0478292788713512,0.0313758892642311,4
"F1","v1,v2,v7,v55","WLSMV",0.995983189207292,0.987949567621877,0.0696073895229339,0.0383859930633083,4
"F1","v1,v2,v9,v55","MLR",0.995282285405343,0.985846856216028,0.036425298910045,0.0250865030539366,4
"F1","v1,v2,v9,v55","WLSMV",0.999228582272588,0.997685746817765,0.0295915934959533,0.0262038826572797,4
"F1","v1,v2,v10,v55","MLR",0.989642576362142,0.968927729086425,0.057365595935842,0.028111293108572,4
"F1","v1,v2,v10,v55","WLSMV",0.998563238717515,0.995689716152544,0.0420030082049591,0.0276023338123063,4
"F1","v1,v2,v11,v55","MLR",0.990472036495204,0.971416109485612,0.0498256589663728,0.0261574544391073,4
"F1","v1,v2,v11,v55","WLSMV",0.99898207769516,0.996946233085481,0.033090351774426,0.0296581515890679,4
"F1","v1,v2,v13,v55","MLR",0.988674805019556,0.966024415058669,0.0553625099498286,0.02822713011614,4
"F1","v1,v2,v13,v55","WLSMV",0.997991160551491,0.993973481654472,0.0470540730941235,0.0306645031061942,4
"F1","v1,v3,v5,v7","MLR",0.991579398514218,0.974738195542653,0.0586480242966448,0.0202790209391656,4
"F1","v1,v3,v5,v7","WLSMV",0.998895178321787,0.996685534965361,0.0355600341989942,0.0240658765266268,4
"F1","v1,v3,v5,v8","MLR",0.983098346306296,0.949295038918887,0.0743102175982002,0.028713400186048,4
"F1","v1,v3,v5,v8","WLSMV",0.997128051403056,0.991384154209169,0.0499433253636073,0.033824832428244,4
"F1","v1,v3,v5,v9","MLR",0.985770889178161,0.957312667534484,0.0690328880255363,0.0259621021308769,4
"F1","v1,v3,v5,v9","WLSMV",0.996704928722986,0.990114786168959,0.0546997199236272,0.0315272883125961,4
"F1","v1,v3,v5,v10","WLSMV",0.995887478904468,0.987662436713403,0.0666789109209297,0.0332405227508588,4
"F1","v1,v3,v5,v11","MLR",0.991526256962808,0.974578770888424,0.051484247072816,0.0251369092580584,4
"F1","v1,v3,v5,v11","WLSMV",0.998136532855575,0.994409598566724,0.0395704434241752,0.0324244642533732,4
"F1","v1,v3,v7,v55","MLR",0.996858250205814,0.990574750617441,0.0279544965788125,0.0198366898965385,4
"F1","v1,v3,v9,v55","MLR",0.992967615490587,0.978902846471761,0.0360330799820057,0.0241718093771532,4
"F1","v1,v3,v9,v55","WLSMV",0.997175610689015,0.991526832067045,0.0323173390716485,0.0267755870374848,4
"F1","v1,v3,v10,v55","MLR",0.99326946245364,0.979808387360921,0.0390758715831911,0.0221303905324666,4
"F1","v1,v3,v10,v55","WLSMV",0.998777437658399,0.996332312975198,0.024053136026363,0.0234783889122877,4
"F1","v1,v3,v11,v55","MLR",0.984350081166771,0.953050243500314,0.0517889137968663,0.027059880838106,4
"F1","v1,v3,v11,v55","WLSMV",0.995559268620832,0.986677805862496,0.0383633099971555,0.0316357292181286,4
"F1","v1,v5,v9,v13","WLSMV",0.975515291128478,0.926545873385435,0.0736893469678365,0.0425219752200703,4
"F1","v1,v5,v11,v55","MLR",0.970047341493807,0.910142024481422,0.0583789481729659,0.0290001879156413,4
"F1","v1,v5,v11,v55","WLSMV",0.987337626048523,0.962012878145569,0.0487947642717593,0.0354602606201105,4
"F1","v1,v7,v8,v10","WLSMV",0.995756367215261,0.987269101645784,0.0678783417462976,0.0435267930275788,4
"F1","v1,v7,v8,v11","MLR",0.984249071789732,0.952747215369196,0.052108496093723,0.0290875098257031,4
"F1","v1,v7,v8,v11","WLSMV",0.994515068558249,0.983545205674748,0.0430824753543345,0.0317648228541561,4
"F1","v1,v7,v8,v13","MLR",0.98508203474951,0.95524610424853,0.0553799174383541,0.0279202426598396,4
"F1","v1,v7,v8,v13","WLSMV",0.996067418638084,0.988202255914251,0.0398533588877238,0.0330292081470602,4
"F1","v1,v7,v9,v10","WLSMV",0.995132700361912,0.985398101085735,0.0741914769082545,0.0414838507817183,4
"F1","v1,v7,v9,v11","WLSMV",0.969752427782315,0.909257283346943,0.0772392765495051,0.0423885513938826,4
"F1","v1,v7,v9,v55","MLR",0.985093130447159,0.955279391341478,0.0430994691364268,0.0241910844068431,4
"F1","v1,v7,v9,v55","WLSMV",0.991404823250373,0.974214469751119,0.0433801571849269,0.0297234835826845,4
"F1","v1,v7,v10,v55","MLR",0.993246562762826,0.979739688288478,0.0433939908394711,0.0255904501171244,4
"F1","v1,v7,v10,v55","WLSMV",0.996356243540235,0.989068730620704,0.0521933748543171,0.0326971979325033,4
"F1","v1,v7,v13,v55","MLR",0.996989578243415,0.990968734730246,0.0184390004163292,0.0193341372018521,4
"F1","v1,v7,v13,v55","WLSMV",0.995762155425468,0.987286466276403,0.0280189073397206,0.0269268019657356,4
"F1","v1,v8,v9,v10","WLSMV",0.994477731245415,0.983433193736245,0.0631978954133935,0.0377611139067641,4
"F1","v1,v8,v9,v13","MLR",0.982041012827343,0.94612303848203,0.0428825746880261,0.0259469427990096,4
"F1","v1,v8,v9,v13","WLSMV",0.994084413891467,0.9822532416744,0.0353137747887417,0.0318625560589883,4
"F1","v1,v8,v10,v11","MLR",0.983906305639749,0.951718916919248,0.0437654891591303,0.0257186172197283,4
"F1","v1,v8,v10,v11","WLSMV",0.994367409829178,0.983102229487535,0.0357520498507243,0.0293336479083036,4
"F1","v1,v8,v10,v13","MLR",0.993436322887656,0.980308968662967,0.0319421990198202,0.0219534496437832,4
"F1","v1,v8,v10,v13","WLSMV",0.999047748097021,0.997143244291064,0.016879115427421,0.0270104953483375,4
"F1","v1,v9,v10,v11","WLSMV",0.991500196285454,0.974500588856363,0.0625227487642428,0.0357631285543547,4
"F1","v1,v9,v11,v13","MLR",0.990623664878166,0.971870994634498,0.025456092741221,0.0207860728854053,4
"F1","v1,v9,v11,v13","WLSMV",0.998164157395314,0.994492472185941,0.0150644372155951,0.0256972854611903,4
"F1","v1,v9,v13,v55","MLR",0.998248957469442,0.994746872408327,0.00947979552104825,0.019210831930701,4
"F1","v1,v9,v13,v55","WLSMV",0.993137762342813,0.979413287028439,0.0242122254659157,0.0256615290361315,4
"F1","v1,v10,v13,v55","MLR",0.989618669988072,0.968856009964216,0.0329720273732461,0.0221951497799182,4
"F1","v1,v10,v13,v55","WLSMV",0.990143785286801,0.970431355860404,0.0423756142183631,0.0303715552994184,4
"F1","v2,v3,v5,v8","MLR",0.987505246629473,0.962515739888418,0.0635624372974919,0.0253535135764914,4
"F1","v2,v3,v5,v8","WLSMV",0.998411876186029,0.995235628558087,0.0379113146502448,0.0296974799502098,4
"F1","v2,v3,v5,v9","MLR",0.98948769715304,0.968463091459121,0.0596201642370368,0.0227533391433527,4
"F1","v2,v3,v5,v9","WLSMV",0.998457781526958,0.995373344580873,0.0387010251633557,0.0267315400150973,4
"F1","v2,v3,v5,v10","MLR",0.990298762642731,0.970896287928194,0.0620281631392547,0.0209035847491355,4
"F1","v2,v3,v5,v10","WLSMV",0.999425523007853,0.998276569023559,0.025734946647592,0.0225892022472143,4
"F1","v2,v3,v5,v55","MLR",0.99956719986062,0.998701599581861,0.0125205280487652,0.0158127000209189,4
"F1","v2,v3,v13,v55","MLR",0.992112804818353,0.97633841445506,0.038793461009451,0.0199747689957117,4
"F1","v2,v3,v13,v55","WLSMV",0.999133920188083,0.997401760564248,0.019390270097356,0.0252130256350273,4
"F1","v2,v5,v7,v55","MLR",0.992262305783843,0.97678691735153,0.0424978052575233,0.0198746717315977,4
"F1","v2,v5,v7,v55","WLSMV",0.999083623761217,0.99725087128365,0.0207763300656856,0.0235783965008793,4
"F1","v2,v5,v8,v55","WLSMV",0.986896284813713,0.960688854441139,0.0596740144108311,0.0364520317980512,4
"F1","v2,v5,v9,v13","MLR",0.974422805184411,0.923268415553233,0.062215223450081,0.0308883536130418,4
"F1","v2,v5,v9,v13","WLSMV",0.984016325046412,0.952048975139237,0.0657049858739837,0.0394791848786841,4
"F1","v2,v7,v8,v11","MLR",0.982553392883551,0.947660178650654,0.0546402054689886,0.0309585151780417,4
"F1","v2,v7,v8,v11","WLSMV",0.990655663020024,0.971966989060072,0.0557965253250079,0.0346553406979716,4
"F1","v2,v7,v8,v13","MLR",0.985944111586443,0.957832334759328,0.0534545956842427,0.0273812733737413,4
"F1","v2,v7,v8,v13","WLSMV",0.99613727203707,0.988411816111209,0.0393091389760589,0.031261898752795,4
"F1","v2,v7,v9,v10","MLR",0.995553523510549,0.986660570531647,0.0430174674675862,0.0195439589656294,4
"F1","v2,v7,v9,v10","WLSMV",0.999942015565542,0.999826046696626,0.00830479678226283,0.0217533673458682,4
"F1","v2,v7,v10,v11","MLR",0.993559145076892,0.980677435230676,0.0417363201318466,0.0252296988427122,4
"F1","v2,v7,v10,v11","WLSMV",0.99804139451256,0.99412418353768,0.0376888149960184,0.0297747880998347,4
"F1","v2,v8,v9,v11","MLR",0.991398133313781,0.974194399941342,0.030867977505746,0.0240915978184919,4
"F1","v2,v8,v9,v11","WLSMV",0.994423728047675,0.983271184143025,0.0355159433838526,0.0285265166348076,4
"F1","v2,v8,v9,v13","WLSMV",0.987657582076655,0.962972746229965,0.054067188089221,0.0360437108559994,4
"F1","v2,v8,v10,v11","MLR",0.973306497448134,0.919919492344401,0.0610362593464601,0.0333828181613592,4
"F1","v2,v8,v10,v11","WLSMV",0.982908427083602,0.948725281250806,0.0666869563771541,0.0381400116082378,4
"F1","v2,v8,v10,v13","MLR",0.984468639719265,0.953405919157796,0.0519715562234529,0.0271006481588602,4
"F1","v2,v8,v10,v13","WLSMV",0.994203617430354,0.982610852291063,0.0439890518459031,0.032210953493412,4
"F1","v2,v8,v11,v13","MLR",0.968498041954891,0.905494125864672,0.0415304786495406,0.0254605323096472,4
"F1","v2,v8,v11,v13","WLSMV",0.989075299310661,0.967225897931984,0.0317931562224113,0.028442366071335,4
"F1","v2,v9,v13,v55","WLSMV",0.976172270660155,0.928516811980463,0.0600932903252705,0.0369888692382132,4
"F1","v3,v5,v8,v55","MLR",0.991446236461471,0.974338709384413,0.0439630668086213,0.0206671835164551,4
"F1","v3,v5,v8,v55","WLSMV",0.999197376437641,0.997592129312924,0.0217429254126258,0.0250427955089637,4
"F1","v3,v5,v9,v55","MLR",0.990290186988916,0.970870560966748,0.0480143981641849,0.021879422129916,4
"F1","v3,v5,v9,v55","WLSMV",0.998532676222021,0.995598028666064,0.0304261638176886,0.0257314579761555,4
"F1","v3,v5,v10,v55","MLR",0.995526130083112,0.986578390249337,0.0361099770876947,0.0179501226244539,4
"F1","v3,v7,v8,v10","WLSMV",0.996597131658224,0.989791394974673,0.0631536547106221,0.0384716095363011,4
"F1","v3,v7,v8,v11","MLR",0.979825155089711,0.939475465269134,0.0634222510929461,0.0333133245206494,4
"F1","v3,v7,v8,v11","WLSMV",0.989577372159573,0.96873211647872,0.0644077337911574,0.0385332180368802,4
"F1","v3,v7,v9,v13","MLR",0.996667217366507,0.990001652099521,0.0240296715022764,0.0186946442969264,4
"F1","v3,v7,v10,v11","MLR",0.985421796001007,0.956265388003021,0.0646389145060332,0.0316211537624982,4
"F1","v3,v7,v10,v11","WLSMV",0.995896308135867,0.987688924407601,0.0564156151009427,0.0373938692762691,4
"F1","v3,v7,v10,v13","MLR",0.995788698472329,0.987366095416986,0.0374958039003383,0.0198834864206805,4
"F1","v3,v7,v13,v55","MLR",0.985752575384778,0.957257726154335,0.0477398847227927,0.0233166233513858,4
"F1","v3,v7,v13,v55","WLSMV",0.991191365138508,0.973574095415523,0.0511596267394717,0.0314328382048692,4
"F1","v3,v8,v9,v10","MLR",0.978895344492857,0.93668603347857,0.0793495559551586,0.0286752843380853,4
"F1","v3,v8,v9,v10","WLSMV",0.994934782588216,0.984804347764648,0.061989880161051,0.0332393586465263,4
"F1","v3,v8,v9,v11","MLR",0.987121124540246,0.961363373620738,0.0364965343106852,0.0253688681364934,4
"F1","v3,v8,v9,v11","WLSMV",0.994665905898345,0.983997717695036,0.0334878885423648,0.0300341482890202,4
"F1","v3,v8,v10,v11","MLR",0.971504911705742,0.914514735117226,0.0613835045259908,0.0324338146677661,4
"F1","v3,v8,v10,v11","WLSMV",0.984833241075416,0.954499723226248,0.0621740508120658,0.0380143496060189,4
"F1","v3,v8,v10,v13","MLR",0.970330452071534,0.910991356214603,0.072274763997696,0.0321607258261096,4
"F1","v3,v8,v10,v13","WLSMV",0.989996763045047,0.96999028913514,0.05925081368444,0.0371209313807169,4
"F1","v3,v9,v10,v13","WLSMV",0.98926859410582,0.967805782317459,0.0780288164022283,0.0436174399922035,4
"F1","v3,v9,v13,v55","MLR",0.972767297984749,0.918301893954247,0.0489390031585195,0.0257199359228707,4
"F1","v3,v9,v13,v55","WLSMV",0.981004771535009,0.943014314605026,0.0527315997487427,0.0330297304617996,4
