"Factor","Items","Estimator","CFI","TLI","RMSEA","SRMR","Item_Count"
"F1","v1,v2,v3,v7","MLR",0.99470553958098,0.98411661874294,0.0555442295370721,0.0215696700446032,4
"F1","v1,v2,v3,v8","MLR",0.98928146658023,0.967844399740691,0.0770259368933639,0.0246022674926954,4
"F1","v1,v2,v3,v8","WLSMV",0.999956357947408,0.999869073842224,0.0104470417969736,0.029332774046136,4
"F1","v1,v2,v3,v55","MLR",0.998702213072058,0.996106639216175,0.0297713276704638,0.0152197148181837,4
"F1","v1,v2,v5,v7","MLR",0.995788107014409,0.987364321043228,0.0490968679248254,0.0212603431105205,4
"F1","v1,v2,v5,v8","MLR",0.991528770838436,0.974586312515308,0.0677458314204554,0.0227101064831802,4
"F1","v1,v2,v5,v55","MLR",0.998656766765402,0.995970300296205,0.0299067663686007,0.0141427569464038,4
"F1","v1,v2,v7,v55","WLSMV",0.997061079429464,0.991183238288392,0.0794294932620311,0.0415211166110626,4
"F1","v1,v2,v9,v13","MLR",0.998593503202253,0.995780509606758,0.0216244683336067,0.0209775158909512,4
"F1","v1,v2,v9,v55","MLR",0.999370049086177,0.998110147258532,0.0167824230903938,0.016371211445953,4
"F1","v1,v2,v10,v13","WLSMV",0.996246640374702,0.988739921124105,0.0747864567651949,0.0412398092114979,4
"F1","v1,v2,v10,v55","WLSMV",0.998812076842893,0.996436230528679,0.0507356074236628,0.0329648453119502,4
"F1","v1,v3,v5,v10","MLR",0.999308545792346,0.997925637377039,0.0200463904906848,0.016796104516876,4
"F1","v1,v3,v7,v55","WLSMV",0.998803788953137,0.996411366859411,0.0442724809451351,0.0306188400996464,4
"F1","v1,v3,v10,v13","MLR",0.985400649646104,0.956201948938313,0.0638222421397816,0.0334429593922767,4
"F1","v1,v3,v10,v13","WLSMV",0.996272147210072,0.988816441630215,0.0575475299067764,0.0351651361477822,4
"F1","v1,v3,v10,v55","MLR",0.996517689486365,0.989553068459096,0.0375025618608958,0.0227788529362117,4
"F1","v1,v5,v7,v55","WLSMV",0.997544489115756,0.992633467347268,0.0626408079444317,0.0349435605169981,4
"F1","v1,v5,v9,v11","WLSMV",0.993813228286064,0.981439684858191,0.0728077982521824,0.0466974795218831,4
"F1","v1,v5,v10,v13","MLR",0.989200300254684,0.967600900764053,0.053487825704209,0.0314580796249403,4
"F1","v1,v5,v10,v13","WLSMV",0.996638042850592,0.989914128551776,0.0543843891723385,0.0342280721289531,4
"F1","v1,v5,v10,v55","MLR",0.993109607438649,0.979328822315947,0.0515153474297977,0.0234904588983198,4
"F1","v1,v7,v9,v11","MLR",0.973775590195008,0.921326770585024,0.0625190556218916,0.029945208922305,4
"F1","v1,v7,v9,v11","WLSMV",0.994645107402695,0.983935322208085,0.0386195319976047,0.0342725085414798,4
"F1","v1,v7,v9,v13","MLR",0.974732365904059,0.924197097712178,0.0569016565250235,0.0294616775413513,4
"F1","v1,v7,v9,v13","WLSMV",0.987433402068421,0.962300206205263,0.0589668020423553,0.0369978901913814,4
"F1","v1,v7,v10,v11","MLR",0.978751178014348,0.936253534043043,0.0709209776247352,0.0322689189523186,4
"F1","v1,v7,v10,v11","WLSMV",0.994805221743609,0.984415665230828,0.0530679676760484,0.0383919417992636,4
"F1","v1,v7,v10,v13","MLR",0.977782436365585,0.933347309096755,0.0675599595359961,0.0285100705466577,4
"F1","v1,v7,v10,v13","WLSMV",0.994164288648674,0.982492865946022,0.0552814845672092,0.033214377390489,4
"F1","v1,v7,v11,v55","MLR",0.992542548862074,0.977627646586223,0.0480774556653562,0.023542292867289,4
"F1","v1,v8,v9,v10","MLR",0.986535716288047,0.959607148864141,0.0668543640280638,0.0288756180445402,4
"F1","v1,v8,v9,v10","WLSMV",0.997548687348231,0.992646062044692,0.0464058524076825,0.0351802144411395,4
"F1","v1,v8,v11,v13","WLSMV",0.983721858575599,0.951165575726798,0.0685797950081504,0.0424026644239049,4
"F1","v1,v9,v10,v13","MLR",0.975714665901535,0.927143997704606,0.0781064595623861,0.0403112880512089,4
"F1","v1,v9,v13,v55","MLR",0.970791074613795,0.912373223841385,0.0778499905612147,0.0334912235188055,4
"F1","v1,v9,v13,v55","WLSMV",0.995096382291699,0.985289146875097,0.0573593561198995,0.0398479662272677,4
"F1","v1,v10,v11,v55","WLSMV",0.994977506398483,0.984932519195449,0.0704599485285646,0.0421584305784489,4
"F1","v1,v10,v13,v55","MLR",0.978565633471337,0.935696900414011,0.0729654675707973,0.0292882809247999,4
"F1","v1,v10,v13,v55","WLSMV",0.996815223161609,0.990445669484828,0.0501057284004048,0.0324143066739566,4
"F1","v1,v11,v13,v55","MLR",0.993391836730673,0.98017551019202,0.0470930873944121,0.025112162921248,4
"F1","v1,v11,v13,v55","WLSMV",0.999063286211305,0.997189858633916,0.0310372720197344,0.0274777319030912,4
"F1","v2,v3,v5,v8","MLR",0.997562773114535,0.992688319343605,0.0356156382933042,0.0213451639467274,4
"F1","v2,v3,v5,v9","MLR",0.995646985874518,0.986940957623553,0.0480351962366291,0.0227095356430953,4
"F1","v2,v3,v5,v10","MLR",0.989934314700415,0.969802944101245,0.0752355654355395,0.0275333890279607,4
"F1","v2,v3,v5,v10","WLSMV",0.999490576571138,0.998471729713415,0.0334256059486201,0.0311816051341316,4
"F1","v2,v3,v5,v55","MLR",0.99826808861088,0.99480426583264,0.0328685298207133,0.0170987294598273,4
"F1","v2,v3,v7,v11","MLR",0.977750747550926,0.933252242652778,0.0795649577404464,0.036756279341619,4
"F1","v2,v3,v7,v11","WLSMV",0.994371019376853,0.98311305813056,0.0653021568697629,0.0406043184684058,4
"F1","v2,v3,v7,v55","MLR",0.997155186167166,0.991465558501499,0.0315147030324137,0.0221471779322666,4
"F1","v2,v3,v9,v11","WLSMV",0.990473493758125,0.971420481274374,0.0797477006008566,0.0494608195883596,4
"F1","v2,v3,v9,v13","MLR",0.988984070987113,0.966952212961341,0.0491138419196937,0.0245246163626523,4
"F1","v2,v3,v10,v13","WLSMV",0.992961504032654,0.978884512097963,0.0689211476418538,0.039807296426474,4
"F1","v2,v3,v10,v55","MLR",0.986831007489493,0.960493022468478,0.0683243819614282,0.0267590984179736,4
"F1","v2,v3,v10,v55","WLSMV",0.999153509126007,0.99746052737802,0.0316840990374773,0.02903916107903,4
"F1","v2,v5,v7,v11","WLSMV",0.992547190987767,0.977641572963301,0.0720755862176521,0.0427965690268847,4
"F1","v2,v5,v7,v55","MLR",0.993133837044342,0.979401511133025,0.0482979002919159,0.0254855544812775,4
"F1","v2,v5,v7,v55","WLSMV",0.999522259488156,0.998566778464469,0.0229179798105233,0.0272794181207144,4
"F1","v2,v5,v9,v11","WLSMV",0.992064434687994,0.976193304063983,0.0697552116291406,0.044980969966827,4
"F1","v2,v5,v10,v13","MLR",0.982507540726776,0.947522622180328,0.0673558238230575,0.0333906081517586,4
"F1","v2,v5,v10,v13","WLSMV",0.993400547727918,0.980201643183753,0.0637698826831228,0.0373784130200426,4
"F1","v2,v5,v10,v55","MLR",0.997764005810014,0.993292017430041,0.0278592587895881,0.0214652351986395,4
"F1","v2,v7,v8,v9","MLR",0.984161654055782,0.952484962167346,0.0630234920292269,0.0262359041063071,4
"F1","v2,v7,v8,v9","WLSMV",0.996352458391258,0.989057375173774,0.0460720518454299,0.0350834421246948,4
"F1","v2,v7,v8,v10","MLR",0.986104286166911,0.958312858500733,0.0663369588252596,0.0276354639042023,4
"F1","v2,v7,v8,v10","WLSMV",0.997457848600276,0.992373545800828,0.0462135246904175,0.034812173613064,4
"F1","v2,v7,v9,v10","MLR",0.996518641087942,0.989555923263826,0.035673727740725,0.0238318196554548,4
"F1","v2,v7,v9,v10","WLSMV",0.99976246749442,0.999287402483261,0.0155661873476376,0.0264819324362235,4
"F1","v2,v7,v9,v13","MLR",0.992754828378737,0.978264485136212,0.0314545920284613,0.0240784698086774,4
"F1","v2,v7,v9,v13","WLSMV",0.995559087269316,0.986677261807948,0.0349843403309134,0.032037703258533,4
"F1","v2,v7,v10,v11","MLR",0.9984942449167,0.995482734750101,0.0192683877866005,0.0213060078356543,4
"F1","v2,v7,v10,v13","MLR",0.99031392908993,0.970941787269791,0.0457415625799404,0.0228649650853821,4
"F1","v2,v7,v10,v13","WLSMV",0.999246780460154,0.997740341380463,0.019863936449747,0.026949935260431,4
"F1","v2,v7,v11,v13","MLR",0.974513504197115,0.923540512591346,0.0632341151664729,0.0286654721343201,4
"F1","v2,v7,v11,v13","WLSMV",0.993070447897757,0.979211343693272,0.0468765422268505,0.0341114613638782,4
"F1","v2,v7,v11,v55","MLR",0.987596038616861,0.962788115850584,0.0582837914669198,0.0263880952405027,4
"F1","v2,v7,v11,v55","WLSMV",0.997662295289181,0.992986885867545,0.0405666517418603,0.031474887370409,4
"F1","v2,v8,v9,v10","MLR",0.99946650570495,0.998399517114849,0.0135641246326697,0.0168713649266335,4
"F1","v2,v8,v9,v11","WLSMV",0.986179129159089,0.958537387477268,0.0683050529888833,0.0433372924912556,4
"F1","v2,v8,v9,v13","WLSMV",0.977771699149267,0.933315097447801,0.0754652013342789,0.0452938726682004,4
"F1","v2,v8,v10,v11","MLR",0.977032315006876,0.931096945020628,0.0721534421281463,0.0291699128476949,4
"F1","v2,v8,v10,v11","WLSMV",0.995745070093388,0.987235210280165,0.043551336244406,0.0350233472261298,4
"F1","v2,v8,v10,v13","MLR",0.969666249408428,0.908998748225284,0.0720041891364281,0.0303334365105445,4
"F1","v2,v8,v10,v13","WLSMV",0.990261816487488,0.970785449462465,0.0581964047102542,0.0378175548159771,4
"F1","v2,v8,v11,v55","MLR",0.983063876269544,0.949191628808631,0.0688114014118128,0.0273723087045688,4
"F1","v2,v8,v11,v55","WLSMV",0.995050734291753,0.985152202875259,0.0580209509473605,0.0369378615820302,4
"F1","v2,v8,v13,v55","MLR",0.975586189380819,0.926758568142456,0.0699790403139845,0.0322512292031446,4
"F1","v2,v8,v13,v55","WLSMV",0.989472353175085,0.968417059525254,0.0706263737984362,0.0401249507675158,4
"F1","v2,v9,v10,v11","WLSMV",0.993523988354146,0.980571965062437,0.0697625280088639,0.0426053244891709,4
"F1","v2,v9,v10,v13","MLR",0.997616245226828,0.992848735680484,0.0248003392811134,0.025837855208933,4
"F1","v2,v9,v10,v13","WLSMV",0.997999577599875,0.993998732799625,0.0362035124467105,0.0318323788258803,4
"F1","v2,v9,v11,v13","MLR",0.985528352670795,0.956585058012384,0.0410829527180302,0.0271253313910217,4
