"X","M","Y","Indirect","Total","CFI","TLI","RMSEA","SRMR"
"F1","F2","F3",0.5997,1.0471,0.9558,0.9444,0.0733,0.0847
"F1","F2","F4",0.1795,0.9921,0.9373,0.9211,0.0749,0.0862
"F1","F2","F5",0.1997,0.9374,0.9698,0.9636,0.0607,0.0787
"F1","F2","F6",0.1729,0.7506,0.9429,0.9311,0.0735,0.0907
"F1","F3","F2",-0.3114,-0.3738,0.9558,0.9444,0.0733,0.0847
"F1","F3","F4",0.3468,0.9816,0.9819,0.9773,0.0457,0.0669
"F1","F3","F5",0.2163,0.9701,0.9964,0.9956,0.0228,0.0592
"F1","F3","F6",0.1995,0.7275,0.9778,0.9733,0.0516,0.0787
"F1","F4","F2",-0.1506,-0.3276,0.9373,0.9211,0.0749,0.0862
"F1","F4","F3",0.5598,1.0221,0.9819,0.9773,0.0457,0.0669
"F1","F4","F5",0.2283,0.9453,0.9952,0.9942,0.0247,0.0599
"F1","F4","F6",0.4099,0.7701,0.981,0.977,0.045,0.0721
"F1","F5","F2",-0.2695,-0.3821,0.9698,0.9636,0.0607,0.0787
"F1","F5","F3",0.5107,0.8901,0.9964,0.9956,0.0228,0.0592
"F1","F5","F4",0.3166,0.8147,0.9952,0.9942,0.0247,0.0599
"F1","F5","F6",0.6568,0.7396,0.9913,0.9898,0.0349,0.0699
"F1","F6","F2",-0.1494,-0.2493,0.9429,0.9311,0.0735,0.0907
"F1","F6","F3",0.3967,0.8528,0.9778,0.9733,0.0516,0.0787
"F1","F6","F4",0.4146,0.8378,0.981,0.977,0.045,0.0721
"F1","F6","F5",0.493,0.845,0.9913,0.9898,0.0349,0.0699
"F2","F1","F3",-0.3224,-1.9269,0.9558,0.9444,0.0733,0.0847
"F2","F1","F4",-0.6187,-1.1665,0.9373,0.9211,0.0749,0.0862
"F2","F1","F5",-0.5835,-1.1062,0.9698,0.9636,0.0607,0.0787
"F2","F1","F6",-0.6294,-1.3229,0.9429,0.9311,0.0735,0.0907
"F2","F3","F1",-0.5184,-0.7208,0.9558,0.9444,0.0733,0.0847
"F2","F3","F4",-1.2533,-1.372,0.9967,0.9957,0.0224,0.0576
"F2","F3","F5",-0.6509,-1.2625,0.9994,0.9993,0.0099,0.0552
"F2","F3","F6",-0.7172,-1.3825,0.9968,0.9961,0.0217,0.0634
"F2","F4","F1",-0.4549,-0.7613,0.9373,0.9211,0.0749,0.0862
"F2","F4","F3",-0.627,-2.5136,0.9967,0.9957,0.0224,0.0576
"F2","F4","F5",-0.5532,-1.3469,1,1.0012,0,0.0552
"F2","F4","F6",-0.9518,-1.8203,1,1.0104,0,0.0519
"F2","F5","F1",-0.6323,-0.7909,0.9698,0.9636,0.0607,0.0787
"F2","F5","F3",-0.4152,-1.9776,0.9994,0.9993,0.0099,0.0552
"F2","F5","F4",-0.7248,-1.1278,1,1.0012,0,0.0552
"F2","F5","F6",-1.1167,-1.3407,0.9994,0.9993,0.0092,0.062
"F2","F6","F1",-0.7483,-1.0895,0.9429,0.9311,0.0735,0.0907
