"X","M","Y","Indirect","Indirect_p","Direct","Direct_p","Total","Total_p","CFI","TLI","RMSEA","SRMR","MediationType"
"F1","F2","F3",0.4996,0,0.4132,0.0012,0.9128,0,0.9938,0.9919,0.0306,0.0585,"Partial Mediation"
"F1","F2","F4",0.1337,0.0202,0.7752,0,0.9088,0,0.9942,0.9926,0.0263,0.0573,"Partial Mediation"
"F1","F2","F5",0.1243,0.0086,0.8539,0,0.9781,0,1,1.0014,0,0.0516,"Partial Mediation"
"F1","F2","F6",0.1085,0.0584,1.1742,0,1.2827,0,1,1.0023,0,0.0538,"No Mediation"
"F1","F3","F2",-0.2082,0.006,-0.0698,0.1606,-0.278,6e-04,0.9938,0.9919,0.0306,0.0585,"Full Mediation"
"F1","F3","F4",0.2312,8e-04,0.6528,0,0.8839,0,1,1.0047,0,0.0474,"Partial Mediation"
"F1","F3","F5",0.1248,0.0528,0.8783,0,1.0031,0,1,1.0126,0,0.0378,"No Mediation"
"F1","F3","F6",0.1056,0.1808,1.1686,0,1.2742,0,1,1.012,0,0.0415,"No Mediation"
"F1","F4","F2",-0.1025,0.0764,-0.1355,0.0683,-0.238,0.0065,0.9942,0.9926,0.0263,0.0573,"No Mediation"
"F1","F4","F3",0.5123,0.0026,0.4174,0.037,0.9296,0,1,1.0047,0,0.0474,"Partial Mediation"
"F1","F4","F5",0.0906,0.3176,0.8971,0,0.9877,0,1,1.0133,0,0.0384,"No Mediation"
"F1","F4","F6",0.2268,0.0431,1.072,0,1.2988,0,1,1.0162,0,0.0379,"Partial Mediation"
"F1","F5","F2",-0.2099,0.0386,-0.0692,0.4649,-0.2791,0.0025,1,1.0014,0,0.0516,"Full Mediation"
"F1","F5","F3",0.4672,0.0431,0.4214,0.0971,0.8886,0,1,1.0126,0,0.0378,"Full Mediation"
"F1","F5","F4",0.1706,0.2817,0.7242,3e-04,0.8948,0,1,1.0133,0,0.0384,"No Mediation"
"F1","F5","F6",0.4279,0.0093,0.8753,0,1.3032,0,1,1.0146,0,0.0382,"Partial Mediation"
"F1","F6","F2",-0.1224,0.0815,-0.0888,0.2677,-0.2112,0.0113,1,1.0023,0,0.0538,"No Mediation"
"F1","F6","F3",0.3237,0.158,0.5299,0.0381,0.8537,0,1,1.012,0,0.0415,"No Mediation"
"F1","F6","F4",0.3197,0.0264,0.5142,0.0046,0.8339,0,1,1.0162,0,0.0379,"Partial Mediation"
"F1","F6","F5",0.3445,0.018,0.614,9e-04,0.9585,0,1,1.0146,0,0.0382,"Partial Mediation"
"F2","F1","F3",-0.4612,0.0183,-1.797,4e-04,-2.2582,1e-04,0.9938,0.9919,0.0306,0.0585,"Partial Mediation"
"F2","F1","F4",-0.9896,0.0173,-0.5617,0.0768,-1.5513,0.0144,0.9942,0.9926,0.0263,0.0573,"Full Mediation"
