"X","M","Y","Indirect","Indirect_p","Direct","Direct_p","Total","Total_p","CFI","TLI","RMSEA","SRMR","MediationType"
"F1","F2","F3",0.3218,0,0.1662,0.0346,0.488,0,0.9806,0.9749,0.0397,0.0564,"Partial Mediation"
"F1","F2","F4",0.0819,0.0095,0.4514,0,0.5333,0,0.9335,0.914,0.0709,0.0784,"Partial Mediation"
"F1","F2","F5",0.0374,0.205,1.0439,0,1.0813,0,0.9736,0.9668,0.0495,0.0655,"No Mediation"
"F1","F2","F6",-0.0206,0.5873,1.0846,0,1.064,0,0.973,0.9651,0.0445,0.0591,"No Mediation"
"F1","F3","F2",-0.0529,0.1235,-0.014,0.3514,-0.0669,0.1363,0.9806,0.9749,0.0397,0.0564,"No Mediation"
"F1","F3","F4",0.1857,0,0.3508,0,0.5365,0,0.9868,0.9829,0.0329,0.0511,"Partial Mediation"
"F1","F3","F5",0.128,6e-04,0.9537,0,1.0818,0,1,1.0044,0,0.0419,"Partial Mediation"
"F1","F3","F6",0.1064,0.0201,0.966,0,1.0724,0,1,1.0042,0,0.0401,"Partial Mediation"
"F1","F4","F2",-0.0373,0.0445,-0.0961,0.032,-0.1334,0.0152,0.9335,0.914,0.0709,0.0784,"Partial Mediation"
"F1","F4","F3",0.2814,0,0.1954,0.0438,0.4768,0,0.9868,0.9829,0.0329,0.0511,"Partial Mediation"
"F1","F4","F5",0.1645,2e-04,0.9258,0,1.0903,0,1,1,0.002,0.0439,"Partial Mediation"
"F1","F4","F6",0.1646,0.0019,0.8858,0,1.0504,0,0.9964,0.9953,0.0186,0.0451,"Partial Mediation"
"F1","F5","F2",-0.0651,0.214,-0.0953,0.1338,-0.1604,0.0067,0.9736,0.9668,0.0495,0.0655,"No Mediation"
"F1","F5","F3",0.643,1e-04,-0.1463,0.4155,0.4968,0,1,1.0044,0,0.0419,"Full Mediation"
"F1","F5","F4",0.5699,0,2e-04,0.9987,0.5701,0,1,1,0.002,0.0439,"Full Mediation"
"F1","F5","F6",0.9349,0,0.2014,0.3645,1.1363,0,1,1.0069,0,0.0376,"Full Mediation"
"F1","F6","F2",0.0095,0.605,-0.1057,0.0603,-0.0961,0.0483,0.973,0.9651,0.0445,0.0591,"No Mediation"
"F1","F6","F3",0.2036,0.0164,0.2557,0.0511,0.4593,0,1,1.0042,0,0.0401,"Full Mediation"
"F1","F6","F4",0.2137,0.0011,0.2907,0.0015,0.5044,0,0.9964,0.9953,0.0186,0.0451,"Partial Mediation"
"F1","F6","F5",0.3474,0,0.6812,0,1.0286,0,1,1.0069,0,0.0376,"Partial Mediation"
"F2","F1","F3",-0.3482,0.1686,-4.8102,0.0967,-5.1584,0.0941,0.9806,0.9749,0.0397,0.0564,"No Mediation"
"F2","F1","F4",-0.5349,0.0093,-0.6141,0.0359,-1.149,0.0075,0.9335,0.914,0.0709,0.0784,"Partial Mediation"
"F2","F1","F5",-1.0356,0.0029,-0.2333,0.2211,-1.2689,0.0027,0.9736,0.9668,0.0495,0.0655,"Full Mediation"
"F2","F1","F6",-1.6834,0.0249,0.2139,0.5915,-1.4695,0.0441,0.973,0.9651,0.0445,0.0591,"Full Mediation"
"F2","F3","F1",-1.2149,0.1961,-0.8799,0.2763,-2.0948,0.0943,0.9806,0.9749,0.0397,0.0564,"No Mediation"
"F2","F3","F4",-2.8103,0.0763,0.9693,0.2636,-1.8411,0.0525,0.9787,0.9725,0.0461,0.0621,"No Mediation"
"F2","F3","F5",-2.2842,0.0488,0.4515,0.5066,-1.8327,0.0227,0.9859,0.9823,0.0364,0.0572,"Full Mediation"
"F2","F3","F6",-4.2223,0.1647,2.0145,0.2928,-2.2077,0.1414,1,1.0027,0,0.0418,"No Mediation"
"F2","F4","F1",-0.451,0.0138,-0.7341,0.017,-1.1851,0.0066,0.9335,0.914,0.0709,0.0784,"Partial Mediation"
"F2","F4","F3",-0.6539,0.0571,-3.6066,0.0551,-4.2605,0.0512,0.9787,0.9725,0.0461,0.0621,"No Mediation"
"F2","F4","F5",-0.5769,0.0028,-0.5684,0.018,-1.1452,0.0013,0.9645,0.9553,0.0571,0.0719,"Partial Mediation"
"F2","F4","F6",-0.8516,0.0154,-0.3243,0.3459,-1.176,0.0246,0.96,0.9482,0.0555,0.0677,"Full Mediation"
"F2","F5","F1",-0.7757,0.0038,-0.2164,0.1349,-0.9921,0.0033,0.9736,0.9668,0.0495,0.0655,"Full Mediation"
"F2","F5","F3",-0.5138,0.0364,-3.1945,0.0296,-3.7083,0.026,0.9859,0.9823,0.0364,0.0572,"Partial Mediation"
"F2","F5","F4",-0.5646,0.0021,-0.4374,0.031,-1.002,0.0018,0.9645,0.9553,0.0571,0.0719,"Partial Mediation"
"F2","F5","F6",-1.3936,0.0043,0.296,0.2299,-1.0976,0.0166,0.9808,0.9758,0.0428,0.0607,"Full Mediation"
"F2","F6","F1",-0.6006,0.0485,-0.9515,0.0345,-1.5521,0.0256,0.973,0.9651,0.0445,0.0591,"Partial Mediation"
"F2","F6","F3",-0.4241,0.1602,-5.1702,0.1337,-5.5943,0.1312,1,1.0027,0,0.0418,"No Mediation"
"F2","F6","F4",-0.3763,0.0288,-0.8691,0.0182,-1.2454,0.0114,0.96,0.9482,0.0555,0.0677,"Partial Mediation"
