Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count
F1,"v1,v2,v3,v9",MLR,0.991157072,0.973471217,0.059590114,0.02115331,4
F1,"v1,v2,v3,v9",WLSMV,0.999299465,0.997898394,0.033161376,0.025866676,4
F1,"v1,v2,v3,v10",MLR,0.988868669,0.966606008,0.070396548,0.023849442,4
F1,"v1,v2,v3,v10",WLSMV,0.999117097,0.997351292,0.038759565,0.026465851,4
F1,"v1,v2,v3,v11",MLR,0.995064889,0.985194666,0.043416852,0.01982045,4
F1,"v1,v2,v3,v13",WLSMV,0.997178086,0.991534257,0.06617806,0.040388951,4
F1,"v1,v2,v3,v55",WLSMV,0.996815104,0.990445312,0.072468986,0.038168664,4
F1,"v1,v2,v4,v9",MLR,0.988904341,0.966713024,0.062020747,0.021562204,4
F1,"v1,v2,v4,v9",WLSMV,0.999005452,0.997016355,0.037473003,0.026662578,4
F1,"v1,v2,v4,v11",MLR,0.995176313,0.98552894,0.0397898,0.019932811,4
F1,"v1,v2,v4,v13",MLR,0.986421286,0.959263858,0.068367931,0.030645244,4
F1,"v1,v2,v4,v13",WLSMV,0.99740923,0.99222769,0.060156996,0.035106638,4
F1,"v1,v2,v5,v9",WLSMV,0.995531313,0.986593939,0.077558366,0.040107497,4
F1,"v1,v2,v5,v11",MLR,0.991023584,0.973070752,0.05478451,0.024419828,4
F1,"v1,v2,v5,v11",WLSMV,0.998831996,0.996495988,0.03832072,0.031419864,4
F1,"v1,v2,v5,v13",MLR,0.991189262,0.973567787,0.055318735,0.026591238,4
F1,"v1,v2,v5,v13",WLSMV,0.999039624,0.997118872,0.035204663,0.029780709,4
F1,"v1,v2,v5,v55",MLR,0.983392679,0.950178037,0.07942707,0.030329102,4
F1,"v1,v2,v5,v55",WLSMV,0.998346853,0.99504056,0.047829279,0.031375889,4
F1,"v1,v2,v9,v55",MLR,0.995282285,0.985846856,0.036425299,0.025086503,4
F1,"v1,v2,v9,v55",WLSMV,0.999228582,0.997685747,0.029591593,0.026203883,4
F1,"v1,v2,v10,v55",MLR,0.989642576,0.968927729,0.057365596,0.028111293,4
F1,"v1,v2,v10,v55",WLSMV,0.998563239,0.995689716,0.042003008,0.027602334,4
F1,"v1,v2,v11,v55",MLR,0.990472036,0.971416109,0.049825659,0.026157454,4
F1,"v1,v2,v11,v55",WLSMV,0.998982078,0.996946233,0.033090352,0.029658152,4
F1,"v1,v2,v13,v55",MLR,0.988674805,0.966024415,0.05536251,0.02822713,4
F1,"v1,v2,v13,v55",WLSMV,0.997991161,0.993973482,0.047054073,0.030664503,4
F1,"v1,v3,v4,v10",MLR,0.99352843,0.980585291,0.056529718,0.019577607,4
F1,"v1,v3,v4,v10",WLSMV,0.999466773,0.99840032,0.035531537,0.024499204,4
F1,"v1,v3,v4,v11",MLR,0.997007894,0.991023682,0.03592186,0.022124779,4
F1,"v1,v3,v4,v11",WLSMV,0.999789948,0.999369844,0.021220642,0.027813595,4
F1,"v1,v3,v5,v9",MLR,0.985770889,0.957312668,0.069032888,0.025962102,4
F1,"v1,v3,v5,v9",WLSMV,0.996704929,0.990114786,0.05469972,0.031527288,4
F1,"v1,v3,v5,v10",WLSMV,0.995887479,0.987662437,0.066678911,0.033240523,4
F1,"v1,v3,v5,v11",MLR,0.991526257,0.974578771,0.051484247,0.025136909,4
F1,"v1,v3,v5,v11",WLSMV,0.998136533,0.994409599,0.039570443,0.032424464,4
F1,"v1,v3,v9,v55",MLR,0.992967615,0.978902846,0.03603308,0.024171809,4
F1,"v1,v3,v9,v55",WLSMV,0.997175611,0.991526832,0.032317339,0.026775587,4
F1,"v1,v3,v10,v55",MLR,0.993269462,0.979808387,0.039075872,0.022130391,4
F1,"v1,v3,v10,v55",WLSMV,0.998777438,0.996332313,0.024053136,0.023478389,4
F1,"v1,v3,v11,v55",MLR,0.984350081,0.953050244,0.051788914,0.027059881,4
F1,"v1,v3,v11,v55",WLSMV,0.995559269,0.986677806,0.03836331,0.031635729,4
F1,"v1,v4,v5,v9",WLSMV,0.998578593,0.995735779,0.042936161,0.029164835,4
F1,"v1,v4,v5,v10",MLR,0.996843643,0.99053093,0.037149001,0.01602285,4
F1,"v1,v4,v5,v11",MLR,0.994325123,0.98297537,0.044980897,0.024596006,4
F1,"v1,v4,v5,v11",WLSMV,0.998940791,0.996822374,0.036199012,0.031642662,4
F1,"v1,v4,v9,v55",MLR,0.988378111,0.965134333,0.040215442,0.024555654,4
F1,"v1,v4,v9,v55",WLSMV,0.996933172,0.990799515,0.030500837,0.026533891,4
F1,"v1,v4,v11,v55",MLR,0.98036727,0.94110181,0.050077969,0.026940475,4
F1,"v1,v4,v11,v55",WLSMV,0.994137273,0.98241182,0.03999953,0.032062,4
F1,"v1,v3,v4,v5,v11",MLR,0.979965972,0.959931943,0.07519707,0.029487303,5
